harvested,deficiency ,recommended Crop,reason for recommended crop),fertilizers,pesticides,organic Matter
Jackfruit,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Custard apple,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Litchi,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Grapes,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Pomegranate,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Orange,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Lemon,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Ber (Indian jujube),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Apple,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Pear,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Plum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Strawberry,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Tea,"Organic carbon and micro-nutrient depletion (B, Zn)","Legume shade crops (लेग्यूम शेड क्रॉप्स), Cover crops (कवर्स), Compost crops (कम्पोस्ट फसलें)",Perennial crops require constant organic inputs; shade & cover legumes improve soil N and microbe activity. — वरिष्ठ फसलें निरंतर जैविक इनपुट चाहती हैं।,Low-dose N with organic amendments + micronutrients as needed,"Bio-control agents (Trichogramma, Beauveria) and cultural controls",Well-rotted farmyard manure and mulch 10 t/ha (maintains soil moisture & C)
Coffee,"Organic carbon and micro-nutrient depletion (B, Zn)","Legume shade crops (लेग्यूम शेड क्रॉप्स), Cover crops (कवर्स), Compost crops (कम्पोस्ट फसलें)",Perennial crops require constant organic inputs; shade & cover legumes improve soil N and microbe activity. — वरिष्ठ फसलें निरंतर जैविक इनपुट चाहती हैं।,Low-dose N with organic amendments + micronutrients as needed,"Bio-control agents (Trichogramma, Beauveria) and cultural controls",Well-rotted farmyard manure and mulch 10 t/ha (maintains soil moisture & C)
Coconut,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Arecanut,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Tobacco,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Rubber,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Aloe vera,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Turmeric,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Ginger,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Garlic (again),Nitrogen (N) deficiency,"Green gram (मूंग), Lentil (मसूर), Cowpea (लोबिया)",Short-duration legumes between cycles fix N rapidly and supply mineralizable N for bulbs while reducing pest carryover. — छोटी लेग्यूम N देती हैं और कीट कम करती हैं।,Urea 40 kg/ha + SSP 100 kg/ha (top dressing N and basal P),Dithane M-45 (fungal leaf spot),Vermicompost 2–3 t/ha (fine texture improves bulb development)
Coriander,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cumin,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Fennel,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Fenugreek (Methi),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Curry leaf,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mint,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Basil (Tulsi),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cardamom,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Black pepper,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Clove,Organic carbon depletion and Mn/Zn issues,"Legume cover crops (लेग्यूम कवर्स), Green manure (हरी खाद), Compost crops (कम्पोस्ट फसलें)",Spices need high organic matter and balanced micronutrients; green manures and compost improve rhizosphere biology. — मसाले अधिक जैविक पदार्थ मांगते हैं; हरी खाद और कम्पोस्ट से मिट्टी सुधरती है।,Organic-based N + SSP as per requirement + micronutrient spray if needed,Cultural control + Trichoderma for soil-borne diseases,Well-decomposed compost 5–10 t/ha (improves humus and microbial balance)
Nutmeg,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mace,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Betel vine (Paan),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Stevia,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Spinach,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Amaranth (Chaulai),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Fenugreek greens,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mustard greens,Nitrogen (N) and Sulfur (S) depletion,"Green gram (मूंग), Cowpea (लोबिया), Soybean (सोयाबीन)",Brassicas use large N/S; following them with legumes restores N biologically and residues contribute organic S. — ब्रासिका के बाद लेग्यूम N और S बहाल करते हैं।,Urea 60 kg/ha + SSP 120 kg/ha (N and S balance),Neem-based pesticide (eco-friendly),FYM 4–5 t/ha (improves N retention and soil life)
Moringa (Drumstick),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bamboo shoots,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Saffron,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Hemp,Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Jute,Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Floriculture rose,Organic carbon and N depletion,"Green manure (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल), Leaf litter compost (पत्तियों का कम्पोस्ट)",Floriculture benefits from organic matter to maintain flower quality and reduce soil compaction. — फ्लोरिकल्चर में जैविक पदार्थ से फूल गुणवत्ता व मिट्टी सुधरती है।,Low-dose NPK with FYM 3–5 t/ha,Integrated pest management (biocontrol + selective insecticides),Leaf compost 3–5 t/ha (improves flowering and soil health)
Marigold,Organic carbon and N depletion,"Green manure (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल), Leaf litter compost (पत्तियों का कम्पोस्ट)",Floriculture benefits from organic matter to maintain flower quality and reduce soil compaction. — फ्लोरिकल्चर में जैविक पदार्थ से फूल गुणवत्ता व मिट्टी सुधरती है।,Low-dose NPK with FYM 3–5 t/ha,Integrated pest management (biocontrol + selective insecticides),Leaf compost 3–5 t/ha (improves flowering and soil health)
Chrysanthemum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Ornamental palms,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Fodder maize,Nitrogen (N) and Phosphorus (P) depletion,"Cowpea (लोबिया), Green gram (मूंग), Lentil (मसूर)",Short-duration legumes fix N and their residues produce organic acids that mobilize P; reduces need for synthetic N. — लेग्यूम N जोड़ते हैं और अवशेष P उपलब्धता बढ़ाते हैं।,SSP 120 kg/ha + Urea 40 kg/ha (P maintenance and starter N),Imidacloprid 17.8 SL (seed treatment),Compost 3–4 t/ha (improves aggregation and nutrient retention)
Napier grass,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Lucerne (Alfalfa),Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Sunn hemp,Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Sesbania (Dhaincha),Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Cowpea fodder,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Green manure mix,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Aonla (Indian gooseberry),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Kinnow (Citrus),"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Black gram (Urad) - minor,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
